Plate ID	Hour	Min	Second	Travel Orientation	LaneID
JJ9399J	7	27	12	1	2
JRRH533	7	27	13	1	3
JR71K88	7	27	14	1	2
JR0N971	7	27	14	3	3
JRMY989	7	27	16	1	3
JJAAM259	7	27	17	1	2
JR98E62	7	27	19	1	3
wp	7	27	30	1	2
JRGP729	7	27	33	3	3
JRSE529	7	27	35	3	1
JR03S38	7	27	38	3	2
JLEB469	7	27	44	1	1
JRU6899	7	27	47	4	2
JR0559E	7	27	47	4	3
JRT8939	7	27	48	2	2
wp	7	27	48	1	3
JR8C093	7	27	49	2	3
JNNWP333	7	27	50	4	3
JR21A82	7	27	50	1	3
JR3112B	7	27	51	2	1
JRT2932	7	27	51	2	3
JR7T290	7	27	51	4	2
JRA0055	7	27	52	2	2
JRV9701	7	27	53	2	3
wp	7	27	53	4	1
JRER777	7	27	54	4	3
JR44636	7	27	55	2	1
JRQS195	7	27	57	4	3
JRT2375	7	27	57	4	1
JR75555	7	27	57	4	2
JRSN228	7	27	58	4	3
JRWJ172	7	27	59	2	1
JR97A77	7	28	0	4	3
JR79E18	7	28	0	4	2
JGFQ3936	7	28	2	4	1
JR3001N	7	28	4	4	2
JRTA780	7	28	5	4	3
JR88K23	7	28	6	1	3
JRS3083	7	28	7	4	2
JR83382	7	28	8	4	3
JR0K916	7	28	9	4	2
JR3R181	7	28	10	4	3
JR3Z536	7	28	10	4	2
JR76103	7	28	12	1	3
wp	7	28	13	4	3
JREG957	7	28	16	4	2
JR2R239	7	28	17	4	3
JRN6699	7	28	18	4	1
JND95690	7	28	18	4	2
JRXG109	7	28	22	4	1
JGQFN717	7	28	24	1	3
wp	7	28	28	2	1
JR36P29	7	28	31	2	1
JGN59L96	7	28	33	4	1
JRJJ289	7	28	34	1	3
JRLZ108	7	28	35	2	2
JGN6A313	7	28	37	4	1
JGHL0218	7	28	40	1	1
wp	7	28	40	1	2
